,TP,assignee_id
246,179.0,org_Sb2D01MXFCHyXQp1lAcP
247,4.0,org_6OJLQQSHiBGfQqFFxwjq
248,38.0,org_TuuKk3USaoa8P2U0ZMYV
249,3.0,org_jeP5y9EnhY7clbfsUNmK
250,1.0,org_3mEiSjRUlEWCkdap4GfG
251,1.0,org_A1n3SRy5rBnqM6fcakWU
252,23.0,org_SrQOnen7f5c3jTabuIa6
253,8.0,org_lfIIwe1ZegMJSGT4eBQl
254,7.0,org_TvAwrAyOuDHUZHFA0yAb
255,93.0,org_AOvNgQsA0d4NFSbE7nlZ
256,14.0,org_jdMEhABcHgPBsnBMSp0A
257,71.0,org_VKPlRljT81cRdgJXqMVF
258,142.0,org_K84fx2RBeJCFhqH0SHey
259,44.0,org_maOux62xkA70ZMejXeZf
260,47.0,org_z7K37ORc7W2k6QBdUskx
261,68.0,org_IJtkiYNP1835OtPoim4E
262,2.0,org_BLtirQFEbrAKnVow4dkn
263,3.0,org_1rkCAS1dJbRxXKTkrVXy
264,68.0,org_TEgf5tu6y6rHdRPkAqwb
265,140.0,org_3ItIeJanW2B93dIAcSjK
266,188.0,org_qvN0HRu0VZTRIuyFryUJ
267,1.0,org_GlA7C4bTF7USd4Scx5Va
268,30.0,org_aPbmXXc7BNgqakLXFw3r
269,3.0,org_MCNmm8BhFijtR7VRxZND
270,3.0,org_mHzSAAWNi1BE0io5G9N6
271,99.0,org_Aiw1DKZUxMFRrGnKWRvg
272,3.0,org_TOvv7vhojJO7IsOLhvQ8
273,9.0,org_gpmbom3F6F7iYSrSRjmo
274,1.0,org_sgteggwdiLYjZqIoCROd
275,1.0,org_pkqzyBoH2YEVEDniqbY1
276,2.0,org_PLW6fIR8ejoEkecBl7U9
277,28.0,org_gx98NPVxk8trwhrocSml
278,1.0,org_eB8Us0o7sLAS2rL3JKUS
279,1.0,org_nZrnIMRdMD7sJI6FLUN4
280,424.0,org_BR269DeL42QFzuSDP6xq
281,5.0,org_T9h5c5IFu3iKlVNhi0aH
282,204.0,org_zAsKuTlHqO5yaelrmmro
283,143.0,org_aV05CdCOPIlju8rsc1pJ
284,2.0,org_muhqwn9uMzNeQN1PGSBV
285,5.0,org_eJ2HjVkkSDJgft6hxhkK
286,23.0,org_EX8jAcD6K7EmjOM0A8vB
287,35.0,org_aAJrNazIiasMuCXiXPry
288,47.0,org_nkryneFZP5keVUJK5Vfa
289,2.0,org_2ikPhasPFQJUCntCW5nl
290,87.0,org_FcHga3kuKz0sUrouj8X5
291,3.0,org_EJngOQYQcOQHlUbKtyx3
292,26.0,org_0mJVPD0ozSs8Z5PKcRcF
293,5.0,org_DlXKZMsno2eiAXIRHppb
294,1.0,org_ga4Okmnn0iprOqEtxFzb
295,7.0,org_Mc2mSYnWummOmmiomOxB
296,11.0,org_TWLvlKChjwcaWkX5sT9P
297,3.0,org_hwfO7yAEFWtDHf9T26b3
298,14.0,org_BBKp7fBjoNkBLLqOfnwE
299,64.0,org_ROt1kzhv2hxBkGLjIOl5
300,14.0,org_a0R3AQ7vIbBTmrO4qZ0F
301,3.0,org_8BKomhxUvBTq7ojyGZTp
302,1.0,org_0g4phxGMHBXnmoZxymWX
303,1.0,org_BmDH6ICGMIgQJ3ZBnRQ6
304,107.0,org_ZVkn7qOwkXs39kQ199Wo
305,7.0,org_6aPBp14fTNK1mO18uVTR
306,1.0,org_Yf3TkNTGQtAGi4JOELBK
307,43.0,org_5Wi7IufFIf2lnJQC27Pz
308,1.0,org_eX7BkCdMyKnAT9giT2ts
309,1.0,org_P8wUMw18mSyxhbCN6fb3
310,1.0,per_jjxLxFoXXKpVEJJWWtyg
311,77.0,org_FK6tmwRYO3XGdAUAED0k
312,35.0,org_RIe8xESEf9ZHanKfHh4S
313,52.0,org_aAo2x7tbT6kx2gkUOWxP
314,366.0,org_dZZgwwIxr22HIBrsfrSd
315,4.0,org_DW9vHgNZAA5CSGDB5AF7
316,109.0,org_JGVg67YwvJzhgrHhAB5u
317,22.0,org_8BEJkLurlgvpqWfJgtUn
318,56.0,org_UjyErYCkTCeqCpAZy4Jd
319,14.0,org_NeYbofFAe74yk10ibtVg
320,65.0,org_sVCmzfPMxkiP9OjXkMWT
321,15.0,org_4NDqLKR5ASYWPfxALM6v
322,2.0,org_YgdvmzUveDnSfZShUy3Q
323,1.0,org_TZoernNlvG4LpUFOnE2r
324,2.0,org_GlGTFwJc9zghxAKVPYOy
325,8.0,org_TleAdqyq00edLoOpy8Jj
326,54.0,org_diJy4b14HoU3BXiKKfdQ
327,1.0,org_iKMfopy6gdw9gIHqpwic
328,80.0,org_7laLuBjCoTzyBJ1Syuo2
329,2.0,org_WE9G04aZpD9FakrC03ES
330,1.0,org_txRWxMseqkvWD6GUGwZB
331,2.0,org_NBgbghGNRiduibONzp5s
332,46.0,org_W9b7lVSjdzKtBRgVYWTS
333,2.0,org_wkOYiuFULja1HtxX6BXH
334,12.0,org_46Hd22MegRKV5GHVtZye
335,95.0,org_mP3i4zNfhYxXgtyZ5YzJ
336,6.0,org_gcdAkIlyjYNp1GQCb5iC
337,1.0,org_w7IGW8fIkVtfivVQRLCC
338,5.0,org_GeIaDb0iDFL2J6MapgMP
339,3.0,per_Whxw74t6R5g02xNOCl5H
